id,BusinessSector,BusinessFunction,MeasuringElt,Rating,SUbCategory,AsIsQuestions,ToBeQuestions,MAXIMUM RATING
500,Energy,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,90,Data Collection,,,5
501,Energy,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,90,Data Storage,,,5
502,Energy,"operations,Health  Safety  and Environment (HSE,Logistics,Finance,Corporate Development and Strategy, IT, Research and Development",Data Utilization and Analytics,90,Data Management,,,5
503,Energy,"IT, Research and Development,HR, Finance, Logistics, operations",Data Utilization and Analytics,90,Data Visualization,,,5
504,Energy,"IT, Research and Development,HR, Finance, Logistics, operations",Automation and Robotics,80,Alerts,,,5
505,Energy,"operations, IT, Research and Development,HR, Finance, ",Automation and Robotics,80,Alarms,,,5
506,Energy,"operations,Power Generation",Automation and Robotics,80,Maintenance,,,5
507,Energy,"operations,Power Generation",Automation and Robotics,80,Inspection,,,5
508,Energy,"operations,Power Generation",Automation and Robotics,80,SCADA systems,,,5
509,Energy,"operations,Power Generation",Automation and Robotics,80,Drilling ,,,5
510,Energy,"operations,Power Generation",Automation and Robotics,80,Remotely Operated Vehicles,,,5
511,Energy,"operations,Power Generation",Automation and Robotics,80,Stability risk analysis,,,5
512,Energy,"operations,Power Generation",Automation and Robotics,80,Solar Panel Cleaning:,,,5
513,Energy,"operations,Power Generation",Automation and Robotics,80,Fault Detection,,,5
514,Energy,"operations,Power Generation",Automation and Robotics,80,Digital device in slope geometry,,,5
515,Energy,"operations,Power Generation",Automation and Robotics,80,Load Balancing,,,5
516,Energy,"operations,Power Generation",Automation and Robotics,80,Leak Detection,,,5
517,Energy,"operations,Power Generation",Automation and Robotics,80,Value Chain Visualisation,,,5
518,Energy,"operations,Power Generation",Automation and Robotics,80,Robotic Inspection,,,5
519,Energy,"operations,Power Generation",Automation and Robotics,80,Energy Storage,,,5
520,Energy,Customer Service,Chatbots,70,customer inquiries,,,5
521,Energy,Customer Service,Billing,70,billing and payment processing,,,5
522,Energy,Customer Service,Virtual Assistants,70,customer interactions,,,5
523,Energy,Customer Service,Sentiment Analysis,70,customer feedback,,,5
524,Energy,Customer Service,Knowledge Base Management,70,manage and update customer,,,5
525,Energy,Customer Service, Feedback Analysis,70, customer feedback,,,5
526,Energy,Customer Service,Predictive Support,70,historical data,,,5
527,Energy,Customer Service,Service Ticketing,70,Decision making,,,5
528,Energy,Customer Service,Live Chat Support,70,real-time customer interaction,,,5
529,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Predictive Maintenance,,,5
530,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Asset Optimization,,,5
531,Energy,"operations,Safety, Health, Environment and Quality(SHEQ),Power Generation,Supply Chain and Logistics",Digital Twin Technologies,60,Power Plant Simulation,,,5
